Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
R251       BottomLayer RES_0603_1608X60-N_YAGEO_A                    21.6505      17.4000      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R248       BottomLayer RES_0603_1608X60-N_YAGEO_A                    14.5997      7.7500       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R247       TopLayer    RES_0603_1608X60-N_YAGEO_A                    15.0000      6.3500       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R246       BottomLayer RES_0603_1608X60-N_YAGEO_A                    16.0000      7.7500       270      "RES 1K OHM 5% 1/10W 0603"                                                                                RC0603JR-071KL                     YAGEO                               
R245       TopLayer    RES_0603_1608X60-N_YAGEO_A                    16.4003      6.3500       270      "RES 1K OHM 5% 1/10W 0603"                                                                                RC0603JR-071KL                     YAGEO                               
R244       BottomLayer RES_0402_1005X40-N_YAGEO_A                    11.9000      10.3500      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R243       TopLayer    RES_0402_1005X40-N_YAGEO_A                    9.9500       19.7498      180      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R242       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.1000      20.3000      180      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R241       TopLayer    RES_0402_1005X40-N_YAGEO_A                    9.9500       20.7500      180      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R240       BottomLayer RES_0402_1005X40-N_YAGEO_A                    17.8010      24.0000      90       "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R239       TopLayer    RES_0402_1005X40-N_YAGEO_A                    18.4013      24.2000      90       "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R238       BottomLayer RES_0402_1005X40-N_YAGEO_A                    16.8008      24.0000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R237       TopLayer    RES_0402_1005X40-N_YAGEO_A                    17.4010      24.2000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R236       BottomLayer RES_0402_1005X40-N_YAGEO_A                    18.8013      24.0000      90       "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R235       BottomLayer RES_0402_1005X40-N_YAGEO_A                    24.3000      16.4000      180      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R234       TopLayer    RES_0402_1005X40-N_YAGEO_A                    23.6000      14.4000      180      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R233       BottomLayer RES_0402_1005X40-N_YAGEO_A                    24.3000      15.1000      180      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R232       TopLayer    RES_0402_1005X40-N_YAGEO_A                    23.6000      13.4000      180      "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R231       BottomLayer RES_0402_1005X40-N_YAGEO_A                    21.8000      10.8000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R230       BottomLayer RES_0402_1005X40-N_YAGEO_A                    16.0000      10.3500      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R229       TopLayer    RES_0402_1005X40-N_YAGEO_A                    14.9995      10.2000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R228       BottomLayer RES_0402_1005X40-N_YAGEO_A                    17.0003      10.3500      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R227       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.5000      13.1000      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R226       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.1000      21.3000      0        "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R225       TopLayer    RES_0402_1005X40-N_YAGEO_A                    9.9500       21.7500      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R224       TopLayer    RES_0402_1005X40-N_YAGEO_A                    12.4000      24.2000      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R223       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.1000      22.3000      0        "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R222       TopLayer    RES_0402_1005X40-N_YAGEO_A                    13.4000      24.2000      90       "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R221       BottomLayer RES_0402_1005X40-N_YAGEO_A                    12.9000      24.0000      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R220       TopLayer    RES_0402_1005X40-N_YAGEO_A                    9.9500       22.7500      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R219       BottomLayer RES_0402_1005X40-N_YAGEO_A                    13.9002      24.0000      90       "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R218       TopLayer    RES_0402_1005X40-N_YAGEO_A                    14.4003      24.2000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R217       BottomLayer RES_0402_1005X40-N_YAGEO_A                    15.8005      24.0000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
